rainfall,temperature,humidity,river_level,elevation,soil_moisture,previous_flood,risk
163.46,18.55,52.33,2.17,447.15,69.55,0,45.45
17.63,20.06,49.66,5.02,345.52,73.01,1,45.44
151.42,35.81,35.41,6.54,424.92,39.94,0,47.15
193.24,20.25,58.94,3.19,219.49,33.28,0,52.78
138.69,39.41,58.85,4.64,501.05,64.43,0,49.34
179.1,19.01,49.36,2.67,66.28,30.49,0,46.36
118.82,36.35,45.25,3.16,408.7,71.76,0,43.89
51.07,34.04,45.29,3.35,593.92,66.32,0,33.88
212.28,35.07,49.43,0.74,202.96,33.56,0,48.63
146.12,33.79,48.4,4.24,533.12,66.57,0,43.72
69.19,30.35,51.55,4.88,540.74,45.15,0,42.93
43.2,28.86,82.61,6.96,108.65,24.08,1,59.45
102.34,31.11,64.49,2.39,340.87,92.93,0,47.1
138.87,23.87,75.38,1.34,272.16,49.93,0,47.39
192.87,29.17,41.7,5.19,508.17,54.67,0,48.39
193.0,29.87,84.05,4.48,20.33,38.53,0,56.48
97.12,39.68,85.83,2.3,159.71,59.93,0,39.71
126.64,19.52,82.92,6.24,94.47,51.82,0,57.03
219.38,27.31,48.34,4.54,443.36,27.7,0,50.13
171.2,26.22,91.68,3.89,163.79,15.63,0,53.0
65.23,22.84,39.47,5.23,152.79,89.68,0,44.15
67.12,32.72,48.5,1.49,562.6,60.25,1,34.58
123.51,26.96,40.94,5.44,225.49,46.18,0,51.0
246.2,20.17,60.37,3.04,519.77,31.88,0,50.89
43.64,22.04,64.15,7.06,63.72,81.11,0,50.35
249.83,36.39,96.05,7.45,512.24,24.64,1,77.71
217.52,37.85,45.37,0.52,246.44,91.53,1,58.47
177.18,34.07,84.35,5.46,302.27,26.71,0,61.64
149.0,29.93,82.12,0.93,358.82,54.25,0,36.29
131.88,36.73,39.32,1.01,519.86,45.53,0,31.76
19.54,19.8,76.41,4.74,203.49,32.95,0,34.58
104.99,32.78,53.9,2.87,456.08,16.38,1,43.51
145.12,20.2,68.87,4.29,96.82,40.71,0,56.98
98.69,21.47,87.53,5.78,374.77,96.88,0,59.91
143.1,38.5,41.53,7.09,173.39,88.29,0,60.78
155.16,33.79,47.83,5.26,173.11,52.99,0,49.72
111.66,24.09,35.22,6.28,389.53,33.05,1,55.45
112.64,18.21,39.74,7.12,544.28,58.01,0,50.27
45.54,20.8,54.42,7.24,481.75,85.74,0,45.62
69.89,20.26,84.15,7.13,255.7,64.62,0,60.75
66.82,21.58,85.39,1.83,259.13,25.78,0,36.38
108.81,32.74,81.31,2.36,112.33,71.71,1,62.67
216.06,22.89,86.44,3.95,197.01,79.99,0,62.31
168.41,26.77,52.55,1.02,468.53,40.9,1,48.84
212.48,25.29,36.74,7.08,171.5,61.09,0,61.09
153.18,25.61,84.54,3.77,590.86,20.18,0,39.33
180.11,18.04,93.31,4.54,437.27,75.29,0,57.93
26.79,32.61,55.8,2.85,511.85,73.34,0,31.17
170.05,25.18,78.92,4.66,131.27,68.51,1,73.29
226.67,31.54,53.96,4.61,20.24,35.25,1,74.65
155.6,25.09,62.83,5.57,316.48,79.85,0,60.97
78.11,32.6,74.01,1.2,572.16,30.67,0,23.14
57.79,18.54,50.43,4.06,512.85,16.41,1,43.77
148.16,33.8,59.19,3.5,105.59,70.51,0,56.78
62.52,35.69,78.84,3.98,343.3,90.74,0,46.28
202.34,32.69,97.24,4.97,571.02,88.45,1,77.57
141.49,37.74,81.85,4.06,170.33,31.76,0,53.47
135.11,31.79,52.3,1.08,185.72,33.91,0,41.49
29.34,21.32,59.13,1.65,144.09,46.51,0,30.61
109.79,22.55,61.47,7.29,358.77,71.21,1,66.87
236.26,24.57,59.57,7.19,504.72,57.36,0,66.12
75.5,28.68,59.5,5.52,482.92,73.73,1,60.88
245.37,29.75,92.14,4.94,404.54,17.39,1,65.47
